-176,"p","Real time PCR Through ABI PRISM 7900®"
-175,"p","Real time PCR Through ABI PRISM 7900®"
-174,"p","Real time PCR Through ABI PRISM 7900®"
-173,"p","Real time PCR Through ABI PRISM 7900®"
-171,"s",""
-169,"s",""
-168,"s",""
-163,"s",""
-162,"s",""
-160,"s",""
-133,"a","AFNOR V 08-055"
-133,"s",""
-131,"a","AFNOR V 08-055"
-131,"s",""
-130,"a","AFNOR V 08-055"
-130,"x","NF V08-055/Accuprobe"
-129,"g","AFNOR Accuprobe AFNOR.BIO.12/4"
-129,"x","NF V08-055/Accuprobe"
-128,"a","AFNOR V 08-055"
-128,"g","AFNOR Accuprobe AFNOR.BIO.12/4"
-128,"s",""
-128,"x","NF V08-055/Accuprobe"
-118,"s",""
-99,"s",""
-98,"s",""
-97,"s",""
-96,"d","Après dialyse CNEVA/DGAL"
-96,"s",""
-96,"t",""
-95,"s",""
-94,"s",""
-93,"s",""
-92,"s",""
-91,"s",""
-90,"s",""
-89,"s",""
-88,"s",""
-87,"s",""
-86,"s",""
-85,"s",""
-83,"s",""
-82,"s",""
-81,"s",""
-80,"s",""
-74,"s",""
-73,"s",""
-72,"s",""
-71,"s",""
-70,"s",""
-69,"s",""
-68,"s",""
-67,"s",""
-66,"s",""
-65,"s",""
-64,"s",""
-63,"s",""
-62,"s",""
-61,"s",""
-60,"s",""
-59,"s",""
-58,"s",""
-57,"s",""
-56,"s",""
-55,"s",""
-54,"s",""
-53,"s",""
-52,"s",""
-51,"s",""
-50,"s",""
-49,"s",""
-48,"s",""
-47,"s",""
-46,"s",""
-45,"s",""
-44,"s",""
-43,"s",""
-42,"s",""
-41,"s",""
-40,"s",""
-39,"a","AFNOR V 08-055"
-39,"i","NF EN ISO 11290-1"
-39,"r","AFNOR n° UNI-03/2"
-39,"s",""
-39,"v","Méthode VIDAS (BIO-12/2-06/94)"
-38,"s",""
-37,"s",""
-36,"s",""
-35,"s",""
-34,"a","AFNOR V 08-055"
-34,"g","AFNOR Accuprobe AFNOR.BIO.12/4"
-34,"i","NF EN ISO 11290-1"
-34,"l","RAPID'L Mono (SDP-07/4-09/98)"
-34,"s",""
-34,"v","Méthode VIDAS (BIO-12/3-03/96)"
-34,"x","NF V08-055/Accuprobe"
-33,"s",""
-32,"s",""
-31,"s",""
-30,"d","Méthode Dynal"
-30,"s",""
-29,"s",""
-28,"s",""
-27,"s",""
-26,"s",""
-25,"s",""
-24,"s",""
-23,"s",""
-22,"s",""
-21,"s",""
-20,"s",""
-17,"s",""
-16,"s",""
-15,"s",""
-14,"s",""
-13,"s",""
-12,"s",""
-11,"s",""
-10,"s",""
-9,"s",""
-8,"s",""
-7,"a","AFNOR V 08-052"
-7,"e","AFNOR NF EN 12824"
-7,"i","NF ISO 6579"
-7,"n","AFNOR NF ISO 6579"
-7,"r","AFNOR n° UNI-03/1"
-7,"s",""
-7,"v","Méthode VIDAS (BIO-12/1-04/94)"
-6,"s",""
-5,"a","AFNOR V 08-057"
-5,"s",""
-4,"s",""
-3,"s",""
-2,"s",""
2,"a","AFNOR V 08-051"
2,"e","AFNOR NF ISO 4833"
2,"p","POS 14/1999-rev.0"
2,"s",""
2,"t","POS 17/1999-rev.0"
3,"a","AFNOR V 08-050"
3,"e","AFNOR NF ISO 4832"
3,"i","NF ISO 4831"
3,"s",""
4,"a","AFNOR V 08-060"
4,"e","AFNOR NF V 08-017"
4,"s",""
5,"a","AFNOR V 08-057"
5,"b","AFNOR V 08-057-1"
5,"e","AFNOR NF V 08-014"
5,"f","NF EN ISO 6888-1"
5,"g","NF EN ISO 6888-2"
5,"r","AFNOR V 08-057-2"
5,"s",""
6,"a","AFNOR XPV 08-061"
6,"j",""
6,"s",""
6,"t",""
7,"a","AFNOR V 08-052"
7,"e","NF EN 12824"
7,"i","NF EN 12824"
7,"s",""
8,"a",""
8,"c","CNR IRSA 7040 Q 100 1994"
8,"s",""
8,"t","BEA (37 °C x 24 h)"
9,"a","AFNOR V 08-059"
9,"e","AFNOR NF ISO 7954"
9,"s",""
9,"t","POS 16/1999-rev.0"
10,"a","AFNOR V 08-059"
10,"e","AFNOR NF ISO 7954"
10,"s",""
11,"a","AFNOR V 08-054"
11,"e","AFNOR NF ISO 7402"
11,"i","AFNOR NF ISO 7402"
11,"s",""
11,"t","VRBGA (30°C x 48h)"
12,"a","AFNOR V08-053"
12,"e","AFNOR NF V 08-017"
12,"s",""
13,"a",""
13,"s",""
14,"a","AFNOR V 08-058"
14,"e","AFNOR NF ISO 7932"
14,"s",""
15,"e","AFNOR NF V 08-014"
15,"i","ISO 6888"
15,"s",""
16,"s",""
17,"a","AFNOR NF V 04-504 routine"
17,"c","AFNOR NF V 04-504 routine"
17,"e","AFNOR NF V 04-504"
17,"s",""
17,"t","POS 16/1999-rev.0"
20,"e","AFNOR NF V 04-503"
20,"s",""
21,"a","AFNOR V 08-059"
21,"s",""
21,"t","POS 16/1999-rev.0"
23,"a","AFNOR V 08-056"
23,"e","AFNOR NF V 08-019"
23,"s",""
25,"a",""
25,"s",""
27,"a","AFNOR V 08-050"
27,"e","AFNOR NF ISO 4832"
27,"s",""
28,"a",""
28,"s",""
29,"a",""
29,"s",""
30,"d","Méthode Dynal"
30,"s",""
30,"v","Méthode VIDAS"
32,"s",""
33,"a",""
33,"s",""
34,"e","NF EN ISO 11290-1"
34,"i","NF EN ISO 11290-2"
34,"s",""
36,"a",""
36,"c","CNR IRSA 7050 Q 100 1994"
36,"s",""
39,"i","NF ISO 11290-2"
39,"r","AFNOR n° UNI-03/2"
40,"s",""
43,"s",""
45,"s",""
48,"s",""
49,"s",""
51,"s",""
52,"s",""
53,"c","CNR IRSA 7010 Q 100 1994"
53,"s",""
53,"t","POS 17/1999-rev.0"
54,"a",""
54,"s",""
56,"s",""
57,"p","POS 13/1999-rev.0"
57,"s",""
57,"t","POS 15/1999-rev.0"
58,"s",""
59,"a","AFNOR V 08-017"
59,"e","AFNOR NF ISO 4831"
59,"m","ISTISAN 96/35-cap.7"
59,"s",""
60,"s",""
61,"s",""
62,"s",""
63,"s",""
64,"i","AFNOR NF ISO 15214"
64,"m",""
64,"s",""
65,"s",""
66,"s",""
67,"s",""
68,"s",""
69,"a","AFNOR XPV 08-061"
69,"j",""
69,"s",""
72,"c","CNR IRSA 7050 Q 100 1994"
72,"s",""
73,"c","CNR IRSA 7020 Q 100 1994"
73,"s",""
75,"s",""
76,"k",""
76,"s",""
77,"k",""
77,"s",""
78,"f",""
78,"s",""
79,"f",""
79,"s",""
80,"p","POS 14/1999-rev. 0"
80,"s",""
81,"s",""
82,"a",""
82,"s",""
83,"a",""
83,"s",""
84,"s",""
85,"a","AFNOR V 08-051"
85,"s",""
86,"s",""
87,"s",""
88,"s",""
89,"a",""
89,"s",""
90,"s",""
91,"s",""
92,"s",""
93,"s",""
94,"a","AFNOR NFV 04-505"
94,"s",""
95,"a",""
95,"s",""
96,"s",""
96,"v","Méthode VIDAS"
97,"e","AFNOR NF ISO 7251"
97,"m","ISTISAN 96/35-cap.7"
97,"s",""
98,"s",""
99,"a",""
99,"s",""
100,"i","ISO11731"
100,"n","NF T 90-431"
100,"s",""
101,"i","ISO 6888"
101,"s",""
102,"s",""
103,"n","NF T 90-431"
103,"s",""
122,"n","NPP"
123,"n","NPP"
141,"s",""
142,"s",""
143,"s",""
160,"s","examen microscopique après culture"
164,"s",""
166,"s",""
172,"c","CNR IRSA 7060B Q 100 1994"
172,"s",""
173,"p","Real time PCR Through ABI PRISM 7900®"
174,"p","Real time PCR Through ABI PRISM 7900®"
175,"p","Real time PCR Through ABI PRISM 7900®"
176,"p","Real time PCR Through ABI PRISM 7900®"
177,"p","Real time PCR Through ABI PRISM 7900®"
178,"p","Real time PCR Through ABI PRISM 7900®"
179,"p","Real time PCR Through ABI PRISM 7900®"
912,"s",""
1001,"1","Titrimétrie"
1002,"1","HPLC"
1003,"1","Enzymatique"
1003,"2","HPLC"
1004,"1","HPLC"
1005,"1","Enzymatique"
1005,"2","Fluorimétrie"
1008,"1","NF V05 114"
1008,"2","HPLC"
1009,"1","Enzymatique"
1009,"2","HPLC"
1010,"1","enzymatique"
1010,"2","HPLC"
1012,"1","enzymatique"
1013,"1","enzymatique"
1013,"2","HPLC"
1014,"1","CLHP"
1015,"1","enzymat NF V 04-352 (Oct 1985)"
1016,"1","Enzymatique"
1016,"2","NF 76104"
1021,"1","titrimétrie"
1021,"2","HPLC"
1022,"1","CPG"
1023,"1","CPG"
1024,"1","Titrimétrie"
1024,"2","Arr du 24/08/83 Jo du 27/10/83"
1026,"1","distillation et titrimétrie"
1026,"2","Kit imuno enzymatique"
1026,"3","Entr. Vap + titrimétrie"
1028,"1","HPLC ou transia"
1029,"1","HPLC"
1031,"1","CPG"
1032,"1","Enzymatique/Oxydo.Red"
1034,"1","CPG"
1034,"2","distillation et titrimétrie"
1035,"1","Réaction colorée"
1036,"1","Absorption atomique"
1036,"2","Absorption atomique"
1038,"1","Chopin NFV03 710 (Farine)"
1038,"2","Chopin NFV03 710 (autres)"
1041,"1","Flux continu"
1041,"2","Code des usages /Luff schoorl"
1041,"3","Enzymatique"
1042,"1","Enzymatique"
1042,"2","Code des usages /Luff schoorl"
1042,"3","Flux continu"
1042,"4","NF V 04-414"
1043,"1","lugol"
1044,"1","Chromato liquide"
1045,"1","Kit colorimétrique"
1045,"2","ST flux continu"
1046,"1","NF ISO/DP 7973"
1046,"2","NF ISO 55 30 41"
1047,"1","NF ISO 55 30 41"
1047,"2","NF ISO/DP 7973"
1050,"1","HPLC"
1050,"2","HPLC"
1050,"3","Spectro UV (260 nm)"
1052,"1","NF U 44-171  volumétrie"
1052,"2","Gravimétrie, titrimétrie"
1053,"1","NF EN 1988-2"
1053,"2","NFV 03 060"
1055,"1","CPG"
1060,"1","Minéralisation + AA"
1060,"2","(AOAC 1990 952.13) NF V 05-120"
1060,"3","Minéralisation + AA (hydrure)"
1061,"1","HPLC"
1063,"1","KJELDAHL"
1064,"1","Kjeldahl"
1065,"1","distillation"
